route	rust_variant	effective_option_bundle
default	Default	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1
default8	Default8	KM_THREADS=8; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1
default1	Default1	KM_THREADS=1; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1
production_all	ProductionAll	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=portfolio; KM_HT_ONLY=certified; KM_TRIGGER_ABSORB=1; KM_ABSORB=1; KM_BRIDGE_PROBE_BUDGET_S=30; KM_BRIDGE_RETRY_ROUNDS=0; KM_HT_SATURATION_BUDGET_S=180
production_all8	ProductionAll8	KM_THREADS=8; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=portfolio; KM_HT_ONLY=certified; KM_TRIGGER_ABSORB=1; KM_ABSORB=1; KM_BRIDGE_PROBE_BUDGET_S=30; KM_BRIDGE_RETRY_ROUNDS=0; KM_HT_SATURATION_BUDGET_S=180
production_all1	ProductionAll1	KM_THREADS=1; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=portfolio; KM_HT_ONLY=certified; KM_TRIGGER_ABSORB=1; KM_ABSORB=1; KM_BRIDGE_PROBE_BUDGET_S=30; KM_BRIDGE_RETRY_ROUNDS=0; KM_HT_SATURATION_BUDGET_S=180
certified_card_nominals	CertifiedCardNominals	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=ht; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_QO_ROUTER=1; KM_NO_HT_SHOQ=1; KM_TRIGGER_ABSORB=1; KM_HT_CARD=1; KM_HT_ONLY=certified; KM_NOMINALS=1; KM_BRIDGE_PROBE_BUDGET_S=30; KM_BRIDGE_RETRY_ROUNDS=0; KM_HT_SATURATION_BUDGET_S=180; KM_HT_NICE=0
certified_card_proxy_abox	CertifiedCardProxyAbox	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=portfolio; KM_HT_MODE=race; KM_HT_ONLY=card; KM_HT_CARD=1; KM_HT_CARD_PROXY_ABOX=1; KM_NO_ELC_PORTFOLIO=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_QO_ROUTER=1; KM_NO_HT_SHOQ=1; KM_NO_HT_RULES=1; KM_NOMINALS=1; KM_HT_NICE=0
cb_plain16	CbPlain16	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=0
cb_plain8	CbPlain8	KM_THREADS=8; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=0
cb_plain1	CbPlain1	KM_THREADS=1; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=0
cb_absorb16	CbAbsorb16	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=1
cb_absorb8	CbAbsorb8	KM_THREADS=8; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=1
cb_absorb1	CbAbsorb1	KM_THREADS=1; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=1
cb_trigger16	CbTrigger16	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=0; KM_TRIGGER_ABSORB=1
cb_trigger8	CbTrigger8	KM_THREADS=8; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=0; KM_TRIGGER_ABSORB=1
cb_trigger1	CbTrigger1	KM_THREADS=1; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=0; KM_TRIGGER_ABSORB=1
cb_absorb_portfolio16	CbAbsorbPortfolio16	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=portfolio; KM_NO_ELC=1; KM_NO_HT_RACE=1; KM_ABSORB=1
elc	Elc	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=elc; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0
elc_cert	ElcCert	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=elc; KM_NO_HT_RULES=1; KM_NO_HT_RACE=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_ELC_FORCE=1; KM_ELC_CERT=2
certified_el_production	CertifiedElProduction	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=elc; KM_NO_HT_RULES=1; KM_NO_HT_RACE=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_ELC_FORCE=1; KM_ELC_CERT=2
lean	Lean	KM_THREADS=1; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=cb; KM_NO_ELC_PORTFOLIO=1; KM_NO_HT_RACE=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_NO_RETRY=1; KM_ABSORB=0; KM_NO_CENTRAL=1
ht_general	HtGeneral	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=ht; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_QO_ROUTER=1; KM_NO_HT_SHOQ=1; KM_NO_HT_CARD=1; KM_HT_ONLY=general; KM_HT_FORCE=1; KM_HT_NICE=0
ht_qo	HtQo	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=ht; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_SHOQ=1; KM_NO_HT_CARD=1; KM_HT_ONLY=qo; KM_HT_NICE=0
ht_shoq	HtShoq	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=ht; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_QO_ROUTER=1; KM_NO_HT_CARD=1; KM_HT_ONLY=shoq; KM_HT_NICE=0
ht_card	HtCard	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=ht; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_QO_ROUTER=1; KM_NO_HT_SHOQ=1; KM_HT_ONLY=card; KM_HT_NICE=0
ht_bridge	HtBridge	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=ht; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_QO_ROUTER=1; KM_NO_HT_SHOQ=1; KM_NO_HT_CARD=1; KM_TRIGGER_ABSORB=1; KM_BRIDGE_PROBE_BUDGET_S=30; KM_BRIDGE_RETRY_ROUNDS=0; KM_HT_SATURATION_BUDGET_S=180; KM_HT_ONLY=bridge; KM_HT_NICE=0
certified_nominals	CertifiedNominals	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=portfolio; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_NO_HT_QO_ROUTER=1; KM_NO_HT_SHOQ=1; KM_NO_HT_CARD=1; KM_TRIGGER_ABSORB=1; KM_BRIDGE_PROBE_BUDGET_S=30; KM_BRIDGE_RETRY_ROUNDS=0; KM_HT_SATURATION_BUDGET_S=180; KM_HT_ONLY=certified; KM_NOMINALS=1; KM_HT_NICE=0
ht_features	HtFeatures	KM_THREADS=16; KM_PAR_MEM_GB=18; KM_HT_MEM_GB=18; KM_KEEP_CHAIN_AXIOMS=1; KM_MECHANISM=ht; KM_NO_ELC=1; KM_NO_HT_RULES=1; KM_NO_ABSORB_PORTFOLIO=1; KM_ABSORB=0; KM_HT_ONLY=features; KM_HT_NICE=0
